wallet,deposit,borrow,repay,redeem,deposit_count,borrow_count,repay_count,liquidations,repay_ratio,score
0x0039e71541bdc798d062346bce94230bf519bb72,30783814783.927177,4735971505.219566,0.0,0,1,1,0,0,0.0,500
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,1.0017499799558686e+16,0.0,0.0,0,2,0,0,0,0.0,700
0x003a85c562730b196f7cba202a2515f2ff855736,1.7471292874329585e+18,5014426082412047.0,4970980528664496.0,0,131,22,12,0,0.9913358870918578,750
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,2427943365150083.0,885.9066653037405,886.0212731966362,0,4,5,4,0,1.0001293679090408,900
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,2.0859259470726457,0.0,0.0,0,2,0,0,0,0.0,600
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,590444841083987.4,112418397982774.95,0.0,0,39,3,0,0,0.0,500
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,141.96701719755856,0.0,0.0,0,2,0,0,0,0.0,600
0x003be39433bde975b12411fbc3025d49d813a84f,0.0,0.7321317130665956,0.0,0,0,1,0,0,0.0,400
0x003cb0842811db8d115e28f13048dd83db391dcb,1.622958931890345,0.0,0.0,0,1,0,0,0,0.0,600
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,1456005976504.559,0.0,0.0,0,1,0,0,0,0.0,700
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,0.0,1714.9573487703487,3414.426915768484,0,0,1,3,0,1.9909689988597568,800
0x003e9a119439ef34de3237034cee95675b01d5d4,2.906098794132161e+16,17372.67688475029,14109.507427746397,0,6,9,8,0,0.8121665717579599,750
0x003ed65a094ef804c934f2427b601e03113882ff,229407503.43754807,0.0,0.0,0,2,0,0,0,0.0,700
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,842103773067356.2,342719725883200.25,1073.6614628823245,0,59,50,16,0,3.132768212029415e-12,600
0x003f705c2e62e268891d8aa2724e32f2176dc963,15939348187759.633,0.0,0.0,0,1,0,0,0,0.0,700
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,4.700590933337324e+16,17043.96976290176,16966.99704855937,0,19,3,4,0,0.9954838740379643,750
0x00405f7b768a9a6b81e8060a17f0550501acf6be,30301.682657323367,1.68797199342611e+16,0.0,0,87,40,0,0,0.0,500
0x0040932d4c252856709b24dc406244392d3df400,9.814599508936935,0.0,0.0,0,1,0,0,0,0.0,600
0x0040daac32d83c78546ae36da42a496b28ab09e1,2111760411662154.8,0.0,0.0,0,6,0,0,0,0.0,700
0x00418b8ea6c6e2d5676f651bf76a368adb845e91,1213755000000000.0,0.0,0.0,0,1,0,0,0,0.0,700
0x0041dac13d9365b4d695fb612950dc71884f8db1,4758545251261543.0,1514632305444592.5,1175692336118230.5,0,43,34,55,0,0.776222936677115,750
0x0043090d0a3338eb89914ea9af5c529e928a044c,9225.488219474806,0.0,0.0,0,1,0,0,0,0.0,700
0x0043260ff376a32f335de2091e8bd455d74ecef9,1.1097787248896631,0.0,0.0,0,1,0,0,0,0.0,600
0x00432772ed25d4eb3c6eb26dc461239b35cf8760,1099059766620.9374,0.0,0.0,0,1,0,0,0,0.0,700
0x00432beb667c8908a74f35fef62882b502347e61,20.81929476012982,0.0,0.0,0,2,0,0,0,0.0,600
0x00433d27687ff685d3871395d7fedfd42b1c3529,175446465917870.3,0.0,0.0,0,29,0,0,0,0.0,700
0x0043f8113eb1257bc6314fe0434eec0d9bac3837,181179453624399.06,0.0,0.0,0,7,0,0,0,0.0,700
0x004403abb2246c48ac770e30e7b36e3b16e152a1,2171829735977998.2,2225.9267646151284,2225.9033657989125,0,3,5,3,0,0.999989488056576,750
0x00447d3b5f40e1bb71766b5ffc656f5391f6e9d8,1040.7485366961978,0.0,0.0,0,1,0,0,0,0.0,700
0x0044803a27c6c45babd3fb7affb80b3f913579d7,675062680155899.5,30001199327341.543,30325875070990.46,0,33,13,6,0,1.0108220921472637,900
0x0044f0ab1281b2bc850bfa39123dec1e8e09001d,4.536807964002797e+16,4855453847714868.0,99789641725519.14,0,10,23,7,0,0.020552072958634617,600
0x00452d3fd0e6bd68943b30af56a8df4eb7685387,447411938107698.56,224.88732795236206,223.23178740850759,0,1,1,1,0,0.9926383555759747,750
0x004624a132094f106e977c369c8f2e1ebffb2ae1,1.1052893739993006,0.0,0.0,0,1,0,0,0,0.0,600
0x0046d10482bc3ae87fa4cb550e36706addf2304a,1.10967015429709,0.0,0.0,0,1,0,0,0,0.0,600
0x004815f49c32e9ef6341dc2d53411a59de5a2daa,127148762443627.11,0.0,0.0,0,1,0,0,0,0.0,700
0x00481898361901f3e49bfe3e40872d09e93c2c11,3.75399529743863e+17,0.0,0.0,0,3,0,0,0,0.0,700
0x0048e6fd005224e7e9f00058c630307f0710a84b,3.949213915199888e+16,2.0753040701538904e+16,7560393327432128.0,0,70,36,16,0,0.36430292004735,600
0x0049436d8c3da52d604cdc390e45026b2662d7f7,4.460365161466952e+16,1.7777798497189158e+16,1.2051003141357944e+16,0,3,5,4,0,0.6778681366685152,750
0x00495585ecf70ad7dd71797c2a22951ed92b9a24,407065073728453.1,60402877661616.7,57469692916894.79,0,17,2,3,0,0.9514396522438231,750
0x004965f85a3db4d5221189595141ecab247b115d,1342461269076.9463,0.0,0.0,0,2,0,0,0,0.0,700
0x0049d23daaafeaac69e336ffe9dcb9ca14dac781,3.4360823275372016e+16,2.501722426423522e+16,2.5130542777750004e+16,0,27,20,18,0,1.004529619765882,900
0x0049f39431ab794a381deca90fa7ab85e60e6ebb,195030546265.5019,0.0,0.0,0,1,0,0,0,0.0,700
0x004a61f49faeab28ac5cc72ed26a7114d134362e,1.0010319616910184,0.0,0.0,0,1,0,0,0,0.0,600
0x004af1171e5783d1223056a700e992b0eccf6191,54810936012301.06,0.0,0.0,0,1,0,0,0,0.0,700
0x004afb002e3fb33c833fc16b6b63103bbf97312d,1.9467509282512536e+16,5203076839647205.0,2768.6051954217714,0,5,3,2,0,5.321092270491045e-13,600
0x004bac9f45af6848ffbdf0dec8f47023ccd7a138,469121300481.40753,295468367969.99286,0.0,0,2,2,0,0,0.0,500
0x004c572659319871be9d4ab337fb3df6237979d7,0.11649853815081415,0.0,0.0,0,1,0,0,0,0.0,600
0x004c5993adfd45da327f82ec7581a6ee736bf4cb,1021611737715.7301,0.0,0.0,0,1,0,0,0,0.0,700
0x004c788aecdcc8ae214519737576d67da3c7334a,1.0947474862942346,0.0,0.0,0,1,0,0,0,0.0,600
0x004ce54398cc569a622bf5a99ae857306243c8ec,547372.9040032325,499506.950383013,501863.3721711325,0,48,14,9,0,1.0047174954949327,900
0x004d71c111862702272e6beccdaafb07c9b96c37,2.8095176949870884e+18,2.8340921103123804e+18,2.863133364400097e+18,0,85,63,63,0,1.0102471101705002,900
0x004f9b61222bcb6214b7dcd87ebafa0ac2c74440,1.1027226706835471,0.0,0.0,0,1,0,0,0,0.0,600
0x0051337e53823325b9df640f8bac7c7a7dcc4b19,1.106222911532575,0.0,0.0,0,1,0,0,0,0.0,600
0x00515e4f8a5c52a526f48c3ea07238143e2c04fc,2309439182308292.0,255350786702766.6,248998967073384.03,0,26,21,21,0,0.9751251221451054,750
0x0051e6e6cde6392c01b4cf6b97d9f5c50ec9817c,67390102899154.62,290800019271584.5,580487088800839.6,0,8,6,18,0,1.9961728003143977,900
0x0051ed91501bdefede70975ec9459a0dd3c5657b,46332751589247.38,10098626311162.082,0.0,0,1,2,0,0,0.0,500
0x00520ddda78809f725ba3ac696fc8dbe9ccaef91,2052229020395.4912,0.0,0.0,0,2,0,0,0,0.0,700
0x00526e91ec022d8596bda04092071c1da6b5322e,312179762483489.4,49928942346445.36,47053112777476.01,0,2,2,2,0,0.9424015524099302,750
0x0052c9f2cc95f743412d6daaf3c93bcd1793479d,22250171499653.65,14195098598632.4,4441759861699.404,0,3,2,2,0,0.3129079964352863,600
0x0052d655d117dae79d897213af1d4393ab32c739,1.1061644097218595,0.0,0.0,0,1,0,0,0,0.0,600
